domain_id,future_domain,example_terms,trend_label,trend_score,source,horizon_year,trend_tier
ONET03,UX/UI & Digital Design,"user experience, user interface, Figma, wireframing, prototyping, accessibility, responsive design, user research, usability testing, design systems, information architecture, WCAG",Moderate_Growth,0.55,ONET_BrightOutlook_2024,2034,Moderate_Growth
ONET04,Game Development & Interactive Media,"game development, Unity, Unreal Engine, 3D modeling, game design, VR, AR, interactive media, shader programming, gameplay programming, physics simulation, asset pipeline, multiplayer networking",Moderate_Growth,0.6,ONET_BrightOutlook_2024,2034,Moderate_Growth
ONET05,Quality Assurance & Testing,"software testing, test automation, QA, quality assurance, unit testing, integration testing, selenium, cypress, CI/CD testing, test-driven development, regression testing, performance testing, load testing, acceptance testing, test strategy",Moderate_Growth,0.55,ONET_BrightOutlook_2024,2034,Moderate_Growth
ONET06,Blockchain & Distributed Systems,"blockchain, distributed ledger, smart contracts, cryptocurrency, Web3, decentralized applications, consensus algorithms, digital payments, tokenization, DeFi",Moderate_Growth,0.5,ONET_BrightOutlook_2024,2034,Moderate_Growth
MCK01,Process Automation & RPA,"robotic process automation, workflow automation, scripting, low-code, no-code, business process management, Power Automate, UiPath, process mining, digital workers, task automation",Moderate_Growth,0.5,McKinsey_FutureOfWork_2025,2030,Moderate_Growth
MCK02,Advanced Communication & Collaboration,"technical writing, cross-functional collaboration, remote work tools, stakeholder management, presentation skills, agile ceremonies, documentation, knowledge sharing, influencing, negotiation",Moderate_Growth,0.4,McKinsey_FutureOfWork_2025,2030,Stable
MCK03,Leadership & People Development,"leadership, team management, mentoring, coaching, talent management, performance management, hiring, onboarding, career development, people management, motivation, delegation, conflict resolution, team building, empowerment",Moderate_Growth,0.55,McKinsey_FutureOfWork_2025,2030,Moderate_Growth
MCK04,"Critical, Analytical & Creative Thinking","analytical thinking, critical thinking, problem solving, creative thinking, creativity, ideation, decision making, strategic thinking, logical reasoning, root cause analysis, troubleshooting, design thinking, systems thinking, judgment, innovation, lateral thinking",Strong_Growth,0.85,WEF_FutureOfJobs_2025,2030,Strong_Growth
MCK05,"Resilience, Adaptability & Lifelong Learning","resilience, flexibility, agility, adaptability, change management, continuous learning, lifelong learning, growth mindset, self-motivation, stress management, time management, work-life balance, curiosity, intellectual curiosity, learning agility, upskilling, reskilling",Strong_Growth,0.8,WEF_FutureOfJobs_2025,2030,Strong_Growth
ESCO01,Project Management & Agile Methodologies,"project management, scrum master, kanban, sprint planning, backlog grooming, product owner, stakeholder alignment, risk management, milestone tracking, JIRA, resource allocation, project lifecycle, waterfall, prince2, PMI",Moderate_Growth,0.55,ESCO_v1.2_2024,2030,Moderate_Growth
ESCO02,Business Analysis & Requirements Engineering,"business analysis, requirements engineering, requirements gathering, user stories, use cases, functional specification, gap analysis, process modeling, domain knowledge, industry knowledge, business acumen, stakeholder interviews",Moderate_Growth,0.5,ESCO_v1.2_2024,2030,Moderate_Growth
DEC01,Routine Data Entry & Clerical,"data entry, routine clerical work, simple repetitive administration, manual bookkeeping, form filling, spreadsheet data entry, manual transcription, basic secretarial tasks, paperwork processing, manual filing",Decline,-0.6,WEF_FutureOfJobs_2025,2030,Declining
DEC02,Legacy Web Development,"static websites, basic HTML only, table-based layouts, Flash development, frames, inline styles, deprecated tags, jQuery-only frontends, legacy PHP, ASP classic",Decline,-0.4,Expert_consensus,2028,Declining
DEC03,Routine Maintenance Coding,"boilerplate code updates, simple feature maintenance, repetitive bug fixing without design thinking, copy-paste programming, trivial CRUD, minor tweaks, manual code generation, formulaic refactors",Decline,-0.3,WEF_FutureOfJobs_2025,2030,Declining
