competency_id,batch_id,title,description,related_skills,related_skills_with_bloom,skill_focus,soft_skills_required,soft_skills_description,kkni_level,kkni_floor,kkni_descriptor,future_relevance,all_skills_human_verified,human_quality,human_relevant,human_skill_focus,human_notes,reviewer_id
C2_b45,45,Prototype Solutions for Complex Challenges,"Create functional prototypes to address complex technical challenges by simulating scenarios, testing interactive models, and iterating based on evaluation results.","[""prototype solutions to complex challenges"", ""test interactive prototypes"", ""perform simulation""]",prototype solutions to complex challenges (Bloom: Create); test interactive prototypes (Bloom: Create); perform simulation (Bloom: Apply),Hard,solve complex challenges; think critically; drive innovation; adapt to change; thrive in ambiguity; work independently,"Innovation and critical thinking drive prototype design, while adaptability and comfort with ambiguity are essential for iterating based on feedback and changing requirements.",7,7,"Mampu merencanakan dan mengelola sumberdaya, mengevaluasi kerjanya secara komprehensif untuk menghasilkan langkah-langkah pengembangan strategis organisasi. Memecahkan permasalahan melalui pendekatan monodisipliner. Mampu melakukan riset dan mengambil keputusan strategis dengan akuntabilitas penuh.","Prototyping is crucial for innovation in fast-evolving fields like Human-AI Collaboration, allowing rapid validation of ideas and reduction of development risks.",False,,,,,
C4_b41,41,Complex Problem Resolution and Performance Analysis,"Analyze system performance issues and lead resolution efforts by diagnosing root causes, evaluating alternative solutions, and implementing corrective actions to restore or improve system functionality.","[""lead problem resolution efforts"", ""lead performance analysis""]",lead problem resolution efforts (Bloom: Apply); lead performance analysis (Bloom: Apply),Hard,solve problems; think critically; work independently; adapt to change; partner with engineers; communicate effectively,Critical problem-solving and effective communication are required to diagnose issues and coordinate solutions with engineering teams.,5,4,"Mampu menyelesaikan pekerjaan berlingkup luas, memilih metode dari beragam pilihan baku/non-baku dengan menganalisis data. Menguasai konsep teoritis bidang pengetahuan tertentu secara umum, mampu memformulasikan penyelesaian masalah prosedural.","Proactive problem-solving and performance optimization are increasingly important for maintaining reliable, high-performing software systems in complex environments.",False,,,,,
C2_b28,28,Solution Design and Implementation Support,Support the design and implementation of software solutions by applying established technical principles to contribute to development phases under guidance.,"[""support the design of solutions"", ""support the implementation of solutions""]",support the design of solutions (Bloom: Create); support the implementation of solutions (Bloom: Evaluate),Hard,collaborate with team; work collaboratively; understand business needs; deliver high-quality work,"Learners must collaborate with a team, understand project needs, and focus on quality to effectively support the design and implementation process.",7,7,"Mampu merencanakan dan mengelola sumberdaya, mengevaluasi kerjanya secara komprehensif untuk menghasilkan langkah-langkah pengembangan strategis organisasi. Memecahkan permasalahan melalui pendekatan monodisipliner. Mampu melakukan riset dan mengambil keputusan strategis dengan akuntabilitas penuh.","The ability to contribute effectively to collaborative development processes is a foundational skill for entry-level roles, even as the focus shifts towards more advanced and automated solution design.",False,,,,,
C1_b101,101,Data Quality Assurance and Validation,Evaluate the accuracy and completeness of data entry by applying standardized verification procedures and using appropriate measurement tools to ensure data integrity.,"[""check final forms using gauges""]",check final forms using gauges (Bloom: Evaluate),Hard,deliver high-quality work; work independently; think critically,"Learners need to be meticulous and self-directed to maintain high standards, and use critical thinking to identify and resolve data discrepancies.",6,6,"Mampu mengaplikasikan bidang keahliannya dan memanfaatkan ilmu pengetahuan, teknologi, dan/atau seni dalam penyelesaian masalah, serta beradaptasi terhadap situasi yang dihadapi. Menguasai konsep teoritis bidang pengetahuan tertentu secara umum dan bagian khusus secara mendalam.","While specific manual verification tasks may decline, the underlying competency of ensuring data quality and integrity remains critical as organizations increasingly rely on accurate data for automated systems and AI-driven decision-making.",False,,,,,
C1_b122,122,Designing and Documenting Standard Operating Procedures for Software Development,"Create clear and comprehensive Standard Operating Procedures (SOPs) for software development processes by defining workflows, roles, and quality control measures to ensure consistent and repeatable project execution.","[""create SOPs""]",create SOPs (Bloom: Create),Hard,think critically; communicate effectively; deliver high-quality work; manage time; work independently,"Critical thinking is needed to analyze processes, while clear communication and a focus on quality are essential for creating effective, usable documentation.",7,7,"Mampu merencanakan dan mengelola sumberdaya, mengevaluasi kerjanya secara komprehensif untuk menghasilkan langkah-langkah pengembangan strategis organisasi. Memecahkan permasalahan melalui pendekatan monodisipliner. Mampu melakukan riset dan mengambil keputusan strategis dengan akuntabilitas penuh.","While specific SOP creation is a foundational skill, the ability to systematically document and standardize processes remains crucial for ensuring quality, compliance, and efficient knowledge transfer in evolving software development environments.",False,,,,,
C1_b32,32,Developing Software Engineering Best Practices,Create and document software development best practices by analyzing project requirements and established methodologies to produce reusable guidelines and standards.,"[""develop best practices""]",develop best practices (Bloom: Create),Hard,think critically; collaborate with team; communicate effectively; solve problems; work independently; deliver high-quality work,Critical thinking and collaboration are needed to analyze existing workflows and communicate new standards effectively to the team.,7,7,"Mampu merencanakan dan mengelola sumberdaya, mengevaluasi kerjanya secara komprehensif untuk menghasilkan langkah-langkah pengembangan strategis organisasi. Memecahkan permasalahan melalui pendekatan monodisipliner. Mampu melakukan riset dan mengambil keputusan strategis dengan akuntabilitas penuh.","While routine coding tasks may decline, the ability to establish and improve development processes remains crucial for ensuring software quality, maintainability, and team efficiency in evolving technical environments.",False,,,,,
C2_b52,52,Ensuring Software Quality through Systematic Testing,Evaluate the quality and reliability of production software by designing and executing comprehensive test plans that identify defects and ensure operational stability.,"[""ensure seamless testing"", ""ensure production software operates flawlessly""]",ensure seamless testing (Bloom: Evaluate); ensure production software operates flawlessly (Bloom: Evaluate),Hard,think critically; solve complex challenges; deliver high-quality work; manage time; work independently,"Critical thinking and problem-solving are required to design effective tests, while time management ensures thorough evaluation for high-quality deliverables.",6,6,"Mampu mengaplikasikan bidang keahliannya dan memanfaatkan ilmu pengetahuan, teknologi, dan/atau seni dalam penyelesaian masalah, serta beradaptasi terhadap situasi yang dihadapi. Menguasai konsep teoritis bidang pengetahuan tertentu secara umum dan bagian khusus secara mendalam.","Systematic testing remains essential for software reliability and user trust, with moderate growth forecasted as software complexity increases.",False,,,,,
C1_b5,5,Design and Provision Cloud Infrastructure,Design and provision scalable cloud infrastructure by selecting appropriate services and configurations to meet specified performance and reliability requirements.,"[""build cloud infrastructure"", ""provision cloud infrastructure"", ""provision infrastructure""]",build cloud infrastructure (Bloom: Create); provision cloud infrastructure (Bloom: Analyze); provision infrastructure (Bloom: Analyze),Hard,think critically; solve complex challenges; work independently; adapt to change; deliver high-quality work,"Critical thinking and problem-solving are needed to design effective solutions, while independence and adaptability ensure successful implementation in a dynamic technical environment.",7,7,"Mampu merencanakan dan mengelola sumberdaya, mengevaluasi kerjanya secara komprehensif untuk menghasilkan langkah-langkah pengembangan strategis organisasi. Memecahkan permasalahan melalui pendekatan monodisipliner. Mampu melakukan riset dan mengambil keputusan strategis dengan akuntabilitas penuh.","Cloud infrastructure skills are critical as organizations increasingly migrate to and operate in cloud environments, with strong growth forecasted in this domain.",False,,,,,
C1_b85,85,Designing and Delivering AI and NLP Instruction,"Design and deliver instructional materials on artificial intelligence and natural language processing by applying pedagogical principles to create clear, structured learning experiences for technical audiences.","[""teach artificial intelligence"", ""teach natural language processing"", ""ensure pedagogical soundness""]",teach artificial intelligence (Bloom: Apply); teach natural language processing (Bloom: Apply); ensure pedagogical soundness (Bloom: Analyze),Hard,communicate effectively; collaborate with team; think critically; adapt to change; deliver high-quality work; understand business needs,"These skills enable the clear communication of complex concepts, adaptation of teaching methods to learner needs, and critical evaluation of instructional effectiveness.",6,5,"Mampu mengaplikasikan bidang keahliannya dan memanfaatkan ilmu pengetahuan, teknologi, dan/atau seni dalam penyelesaian masalah, serta beradaptasi terhadap situasi yang dihadapi. Menguasai konsep teoritis bidang pengetahuan tertentu secara umum dan bagian khusus secara mendalam.","As AI and NLP become integral to software development, the ability to effectively teach these complex topics is critical for scaling expertise and fostering innovation within teams and organizations.",False,,,,,
C2_b82,82,Technical Evaluation and Oversight,Oversee technical evaluation processes for specific resources by applying systematic methods to assess all relevant aspects and document findings.,"[""oversee all aspects of mineral resource evaluation""]",oversee all aspects of mineral resource evaluation (Bloom: Apply),Hard,work independently; think critically; deliver high-quality work; understand business needs,Learners must think critically and work independently to deliver high-quality evaluations that align with understood technical and business parameters.,4,4,Mampu menyelesaikan tugas berlingkup luas dan kasus spesifik dengan menganalisis informasi secara terbatas dan memilih metode dari beberapa pilihan baku. Menguasai beberapa prinsip dasar bidang keahlian tertentu.,"Systematic technical evaluation remains foundational for informed decision-making in technology, engineering, and sustainable resource sectors.",False,,,,,
C2_b86,86,Evaluating Security and Hardening Requirements,"Evaluate security requirements by identifying and analyzing hardening needs within a system to propose specific, actionable security enhancements.","[""identify hardening requirements""]",identify hardening requirements (Bloom: Analyze),Hard,think critically; solve complex challenges; adapt to change; deliver high-quality work,Critical thinking and adaptability are required to assess evolving security threats and define robust hardening measures.,6,5,"Mampu mengaplikasikan bidang keahliannya dan memanfaatkan ilmu pengetahuan, teknologi, dan/atau seni dalam penyelesaian masalah, serta beradaptasi terhadap situasi yang dihadapi. Menguasai konsep teoritis bidang pengetahuan tertentu secara umum dan bagian khusus secara mendalam.","As cybersecurity threats evolve, the ability to proactively identify and specify security hardening measures remains crucial for protecting software and data assets.",False,,,,,
C1_b27,27,Analyzing and Evaluating Technical Solutions,"Analyze and evaluate multiple solution options for complex technical problems by comparing their feasibility, scalability, and alignment with technical requirements to recommend the most effective approach.","[""analyze solution options"", ""provide expert technical analysis"", ""provide technical support"", ""provide technical support to customers"", ""turn research-grade ideas into production-ready solutions""]",analyze solution options (Bloom: Analyze); provide expert technical analysis (Bloom: Apply); provide technical support (Bloom: Evaluate); provide technical support to customers (Bloom: Evaluate); turn research-grade ideas into production-ready solutions (Bloom: Evaluate),Hard,think critically; solve complex challenges; communicate effectively; understand business needs; work independently; adapt to change,Critical thinking and effective communication are needed to evaluate options clearly and justify recommendations to stakeholders.,6,6,"Mampu mengaplikasikan bidang keahliannya dan memanfaatkan ilmu pengetahuan, teknologi, dan/atau seni dalam penyelesaian masalah, serta beradaptasi terhadap situasi yang dihadapi. Menguasai konsep teoritis bidang pengetahuan tertentu secara umum dan bagian khusus secara mendalam.","This competency is critical for future work as it enables professionals to assess emerging technologies and integrate research innovations into reliable, scalable systems, a key skill in fast-evolving fields like AI and cloud computing.",False,,,,,
C2_b17,17,Develop and Operate Distributed Systems,"Design, build, and operate distributed systems by implementing appropriate communication protocols and fault-tolerance mechanisms to ensure system integrity and performance.","[""operate distributed systems"", ""build distributed systems"", ""design distributed systems"", ""develop scalable distributed systems"", ""implement systems"", ""construct platform and sub-systems""]",operate distributed systems (Bloom: Evaluate); build distributed systems (Bloom: Create); design distributed systems (Bloom: Create); develop scalable distributed systems (Bloom: Apply); implement systems (Bloom: Apply); construct platform and sub-systems (Bloom: Create),Hard,solve complex challenges; think critically; work collaboratively; thrive in ambiguity; adapt to change,"Solving complex challenges and critical thinking are essential for managing system interdependencies, while collaboration is key for integrating components.",7,7,"Mampu merencanakan dan mengelola sumberdaya, mengevaluasi kerjanya secara komprehensif untuk menghasilkan langkah-langkah pengembangan strategis organisasi. Memecahkan permasalahan melalui pendekatan monodisipliner. Mampu melakukan riset dan mengambil keputusan strategis dengan akuntabilitas penuh.","Distributed systems form the backbone of modern applications and platforms, with skills in their design and operation remaining essential for scalable software development.",False,,,,,
C4_b19,19,Development of Low-Level and Embedded Software Tools,"Create low-level software, embedded tools, and digital signal processing stacks for specialized hardware and firmware applications, applying principles of systems programming.","[""develop low-level Linux boot, BIOS, firmware and embedded software"", ""develop embedded software tools"", ""own digital signal processing stack"", ""dive into platform-specific native code"", ""write performance or correctness tools""]","develop low-level Linux boot, BIOS, firmware and embedded software (Bloom: Create); develop embedded software tools (Bloom: Create); own digital signal processing stack (Bloom: Apply); dive into platform-specific native code (Bloom: Apply); write performance or correctness tools (Bloom: Create)",Hard,work independently; solve complex challenges; think critically; deliver high-quality work; grow professionally,"Independent work and complex problem-solving are required to tackle intricate system-level challenges, while a focus on quality and professional growth ensures mastery of this specialized domain.",7,7,"Mampu merencanakan dan mengelola sumberdaya, mengevaluasi kerjanya secara komprehensif untuk menghasilkan langkah-langkah pengembangan strategis organisasi. Memecahkan permasalahan melalui pendekatan monodisipliner. Mampu melakukan riset dan mengambil keputusan strategis dengan akuntabilitas penuh.","Expertise in low-level and embedded systems remains vital for the Internet of Things (IoT), robotics, and specialized computing hardware, areas with sustained technological growth.",False,,,,,
C1_b11,11,Design and Develop Automation Solutions,"Design and develop automation frameworks and solutions by analyzing operational processes, selecting appropriate tools and methods, and implementing scripts or systems to automate repetitive tasks.","[""develop automation frameworks"", ""focus on process automation"", ""focus on automation"", ""drive the automation and optimization of operations""]",develop automation frameworks (Bloom: Create); focus on process automation (Bloom: Apply); focus on automation (Bloom: Apply); drive the automation and optimization of operations (Bloom: Apply),Hard,solve problems; think critically; work independently; deliver high-quality work; manage time,"Learners need problem-solving and critical thinking to analyze processes, and independence and time management to deliver reliable automation solutions.",7,7,"Mampu merencanakan dan mengelola sumberdaya, mengevaluasi kerjanya secara komprehensif untuk menghasilkan langkah-langkah pengembangan strategis organisasi. Memecahkan permasalahan melalui pendekatan monodisipliner. Mampu melakukan riset dan mengambil keputusan strategis dengan akuntabilitas penuh.","This competency is critical as automation continues to transform industries, increasing efficiency and reducing human error in repetitive operational tasks, a trend with moderate to strong growth.",False,,,,,
C1_b113,113,Electronic Design Automation Process Execution,Execute and monitor Design Rule Checking (DRC) runs in electronic design automation workflows by triggering processes and analyzing results to ensure compliance with design specifications.,"[""monitor DRC runs"", ""trigger DRC runs""]",monitor DRC runs (Bloom: Analyze); trigger DRC runs (Bloom: Apply),Hard,work independently; deliver high-quality work; manage time; think critically; adapt to change,"Learners need to work independently to manage automated processes, think critically to interpret results, and adapt to changes in design specifications.",5,5,"Mampu menyelesaikan pekerjaan berlingkup luas, memilih metode dari beragam pilihan baku/non-baku dengan menganalisis data. Menguasai konsep teoritis bidang pengetahuan tertentu secara umum, mampu memformulasikan penyelesaian masalah prosedural.","This competency remains relevant as electronic design automation is foundational for semiconductor and integrated circuit development, which continues to be critical for advancing computing and IoT technologies.",False,,,,,
C2_b46,46,Analyzing and Monitoring Environmental Performance,"Analyze environmental performance and compliance by monitoring emerging regulations, tracking environmental footprints, and overseeing monitoring processes to identify areas for improvement.","[""monitor emerging environmental regulations"", ""track environmental footprint"", ""oversee environmental monitoring"", ""monitor environmental best practices"", ""reduce carbon footprint""]",monitor emerging environmental regulations (Bloom: Analyze); track environmental footprint (Bloom: Apply); oversee environmental monitoring (Bloom: Analyze); monitor environmental best practices (Bloom: Analyze); reduce carbon footprint (Bloom: Apply),Hard,analyze data; work independently; adapt to change; manage time; deliver high-quality work; think critically,"Learners must work independently, manage time effectively, and think critically to analyze data and adapt to changing regulations while delivering accurate reports.",6,5,"Mampu mengaplikasikan bidang keahliannya dan memanfaatkan ilmu pengetahuan, teknologi, dan/atau seni dalam penyelesaian masalah, serta beradaptasi terhadap situasi yang dihadapi. Menguasai konsep teoritis bidang pengetahuan tertentu secara umum dan bagian khusus secara mendalam.","Organizations face increasing pressure to measure, report, and improve their environmental performance, making skills in analysis and regulatory monitoring essential for future compliance and operational efficiency.",False,,,,,
C2_b12,12,Evaluate and Demonstrate Technical Expertise,"Assess and justify technical decisions and solutions by evaluating their effectiveness, limitations, and alignment with project requirements through systematic analysis and presentation.","[""demonstrate technical expertise""]",demonstrate technical expertise (Bloom: Evaluate),Hard,communicate effectively; think critically; solve complex challenges; understand business needs; work with stakeholders; provide technical leadership,"Learners must think critically to solve complex challenges, communicate findings effectively to stakeholders, and provide leadership by aligning technical choices with needs.",6,6,"Mampu mengaplikasikan bidang keahliannya dan memanfaatkan ilmu pengetahuan, teknologi, dan/atau seni dalam penyelesaian masalah, serta beradaptasi terhadap situasi yang dihadapi. Menguasai konsep teoritis bidang pengetahuan tertentu secara umum dan bagian khusus secara mendalam.","As technology landscapes evolve, the capacity to critically evaluate and articulate technical choices remains crucial for ensuring robust, sustainable, and appropriate software solutions.",False,,,,,
C1_b126,126,Design and Optimize Pneumatic Systems for Automated Processes,"Design and optimize pneumatic ejection systems by applying principles of fluid dynamics and control to improve performance metrics such as speed, accuracy, and reliability in automated processes.","[""improve pneumatic ejection performance""]",improve pneumatic ejection performance (Bloom: Create),Hard,solve problems; think critically; work independently; adapt to change; deliver high-quality work,"Learners need to solve problems and think critically to diagnose system issues, work independently on optimizations, and adapt to changing technical requirements while ensuring high-quality outcomes.",7,7,"Mampu merencanakan dan mengelola sumberdaya, mengevaluasi kerjanya secara komprehensif untuk menghasilkan langkah-langkah pengembangan strategis organisasi. Memecahkan permasalahan melalui pendekatan monodisipliner. Mampu melakukan riset dan mengambil keputusan strategis dengan akuntabilitas penuh.","This competency is relevant for the future of work as automation and robotics continue to expand in manufacturing and logistics, requiring skilled technicians to maintain and enhance system efficiency.",False,,,,,
C1_b81,81,High-Performance Computing System Management,"Manage and optimize large-scale GPU computing environments by configuring hardware resources, monitoring performance metrics, and applying tuning techniques to ensure efficient operation.","[""work with large-scale GPU farms"", ""advance performance analysis and tuning for GPUs""]",work with large-scale GPU farms (Bloom: Apply); advance performance analysis and tuning for GPUs (Bloom: Apply),Hard,solve complex challenges; think critically; work independently; adapt to change; deliver high-quality work; manage time,"Learners need to independently troubleshoot performance issues, adapt to new hardware configurations, and meticulously manage system resources to maintain operational efficiency.",5,4,"Mampu menyelesaikan pekerjaan berlingkup luas, memilih metode dari beragam pilihan baku/non-baku dengan menganalisis data. Menguasai konsep teoritis bidang pengetahuan tertentu secara umum, mampu memformulasikan penyelesaian masalah prosedural.","This competency is critical for supporting the growing demand in AI, machine learning, and scientific computing, which rely on scalable, high-performance computing infrastructure.",False,,,,,
C1_b105,105,Troubleshooting and Configuring Electrical Systems,"Apply systematic troubleshooting methods to diagnose and resolve electrical power issues, and configure appropriate power settings for specific hardware or environmental conditions using standard tools and procedures.","[""determine proper power settings"", ""troubleshoot power issues""]",determine proper power settings (Bloom: Apply); troubleshoot power issues (Bloom: Apply),Hard,solve problems; think critically; work independently; adapt to change; deliver high-quality work,Learners need to think critically to diagnose issues and adapt procedures to solve problems independently while ensuring reliable outcomes.,4,4,Mampu menyelesaikan tugas berlingkup luas dan kasus spesifik dengan menganalisis informasi secara terbatas dan memilih metode dari beberapa pilihan baku. Menguasai beberapa prinsip dasar bidang keahlian tertentu.,"This competency remains relevant for maintaining and optimizing energy-efficient systems in various technical and industrial settings, supporting sustainability goals.",False,,,,,
C2_b84,84,Processing Specialized Billing Transactions,"Apply standardized procedures to process RMA/OHIP billing transactions accurately, ensuring compliance with specific platform requirements and documentation standards.","[""process RMA/OHIP billing""]",process RMA/OHIP billing (Bloom: Apply),Hard,work independently; deliver high-quality work; manage time; adapt to change; solve problems; communicate effectively,"Independence and attention to detail ensure accurate transaction processing, while adaptability allows for handling procedural updates.",4,4,Mampu menyelesaikan tugas berlingkup luas dan kasus spesifik dengan menganalisis informasi secara terbatas dan memilih metode dari beberapa pilihan baku. Menguasai beberapa prinsip dasar bidang keahlian tertentu.,"Proficiency in processing specialized billing remains important for e-commerce and digital health platforms, where accurate financial operations are critical for service delivery and compliance.",False,,,,,
