skill,kkni_level,n_jobs,share
contribute technical expertise to tool development,6.0,1,1.0
contribute to adoption activities,,0,0.0
contribute to automation initiatives,6.0,1,1.0
contribute to continuous improvement of internally built tools,,0,0.0
contribute to data validation,,0,0.0
contribute to design system,6.0,1,1.0
contribute to feature design,,0,0.0
contribute to frontend architecture,,0,0.0
contribute to integration testing,,0,0.0
contribute to pre-sales and bids,,0,0.0
contribute to process improvements,5.0,1,1.0
"contribute to real-time control, safety, autonomy and mission execution",,0,0.0
contribute to teamwork,2.0,1,1.0
contribute to testing,,0,0.0
"contribute to the development of RFCs, standards, and frameworks",,0,0.0
contribute to the growth and success of a consulting practice,,0,0.0
contribute to wider objectives,,0,0.0
convert inbound interest into pipeline,,0,0.0
coordinate badging at location,2.0,1,1.0
coordinate design and production effort,,0,0.0
coordinate junior staff,6.0,1,1.0
coordinate office activities,2.0,1,1.0
coordinate people-related projects,,0,0.0
coordinate program execution,6.0,1,1.0
coordinate projects,,0,0.0
coordinate releases,5.0,1,1.0
coordinate shipments and deliveries,2.0,1,1.0
coordinate support within a division,,0,0.0
coordinate tasks in a fast-paced setting,2.0,1,1.0
coordinate with asset management,2.0,1,1.0
coordinate with building management and vendors,2.0,1,1.0
coordinate with electricians,2.0,1,1.0
coordinate with internal teams and external stakeholders,2.0,1,1.0
coordinate with shippers,2.0,1,1.0
coordinate with suppliers,2.0,1,1.0
coordinate with teams,2.0,1,1.0
"craft a polished, dynamic mobile UI",,0,0.0
craft benchmarks,6.0,1,1.0
craft software,,0,0.0
craft the ultimate UX,6.0,1,1.0
craft tools,6.0,1,1.0
craft tools for compute developers,9.0,1,1.0
create CI/CD pipelines,,0,0.0
create Power BI dashboards,8.0,1,1.0
create SOPs,,0,0.0
create a polished office environment,2.0,1,1.0
create an inclusive environment,6.0,1,1.0
create application architecture,,0,0.0
create build jobs,,0,0.0
create business and revenue models,,0,0.0
create content,,0,0.0
create data processing capabilities,,0,0.0
create design documentation,2.0,1,1.0
create documentation,,0,0.0
"create fun, share-worthy moments of reflection",,0,0.0
create global offer launch preparation,6.0,1,1.0
"create high-performing, sustainable, and award-winning buildings",6.0,1,1.0
create industrial processes,6.0,1,1.0
create mechanical components,9.0,1,1.0
create operational documentation,,0,0.0
create out-of-the-box observability,,0,0.0
create paginated reports,8.0,1,1.0
create personalized experiences,5.0,1,1.0
create python code,,0,0.0
create robust data models,,0,0.0
create solutions,,0,0.0
create state management,,0,0.0
create strong delivery processes,8.0,1,1.0
create strong documentation,,0,0.0
create technical documentation,2.0,1,1.0
create tests,,0,0.0
create value for developers,,0,0.0
create visual reports,6.0,1,1.0
deal with complex escalated issues,6.0,1,1.0
debug hardware,6.0,1,1.0
debug software,9.0,1,1.0
debug systems,2.0,1,1.0
decide on correct procedures,2.0,1,1.0
decouple platform from games,,0,0.0
define architectural patterns,8.0,1,1.0
define dependency sequencing,8.0,1,1.0
define product vision,,0,0.0
define requirements,5.0,1,1.0
define service boundaries,8.0,1,1.0
define technology strategies,2.0,1,1.0
deliberately document for the future,,0,0.0
deliver AI-powered products,,0,0.0
deliver DevOps advisory,,0,0.0
deliver Streamlit app,6.0,1,1.0
deliver a course,6.0,1,1.0
deliver a first class service,8.0,1,1.0
deliver a frictionless buying experience,,0,0.0
deliver advanced full life cycle professional and technical solutions,,0,0.0
deliver change initiatives,,0,0.0
deliver client solution,,0,0.0
deliver complex CIS solutions,6.0,1,1.0
deliver complex development programmes,,0,0.0
deliver complex initiatives,,0,0.0
deliver complex projects,,0,0.0
deliver critical insights,5.0,1,1.0
deliver decision support,5.0,1,1.0
"deliver developments that meet commercial, technical, and design excellence",,0,0.0
deliver digital solutions,,0,0.0
deliver exceptional customer experience,,0,0.0
deliver for customers,,0,0.0
deliver functionality,,0,0.0
"deliver gains in reliability, efficiency and sustainability",,0,0.0
deliver growth outcomes,,0,0.0
deliver high-performance experiences,,0,0.0
deliver high-quality analytics,6.0,1,1.0
deliver high-quality work,6.0,1,1.0
deliver iOS apps,6.0,1,1.0
deliver impactful analytics,,0,0.0
deliver on production ownership,,0,0.0
deliver optimal software solutions,8.0,1,1.0
"deliver reliable, high-performance software",,0,0.0
deliver self-service registration and governance,,0,0.0
deliver solutions that balance user experience with developer experience,,0,0.0
deliver technologies and solutions,,0,0.0
deliver technology products,6.0,1,1.0
deliver user experience,2.0,1,1.0
deliver value,,0,0.0
deliver value to customers,,0,0.0
deliver value-added business analysis,6.0,1,1.0
democratize observability,,0,0.0
demonstrate clear written and oral communications,,0,0.0
demonstrate strong organisational skills,,0,0.0
demonstrate technical expertise,6.0,1,1.0
demonstrate the product to stakeholders,,0,0.0
demonstrate understanding of electronics principles,6.0,1,1.0
demonstrate understanding of manufacturing services processes,6.0,1,1.0
deploy Microsoft Intune,,0,0.0
deploy advanced algorithms,9.0,1,1.0
deploy application code,2.0,1,1.0
deploy code,6.0,1,1.0
deploy data solutions,6.0,1,1.0
deploy embedded systems,8.0,1,1.0
deploy high-performance data ingestion systems,6.0,1,1.0
deploy high-scale communication systems,,0,0.0
deploy multicast market data delivery platforms,,0,0.0
deploy network infrastructure,,0,0.0
deploy retrieval-enhanced LLMs and hybrid retrieval pipelines,8.0,1,1.0
"deploy, test, or troubleshoot autonomous systems in operational environments",,0,0.0
design AI/ML solutions,6.0,1,1.0
design a React Native architecture,,0,0.0
design advanced artificial intelligence solutions,6.0,1,1.0
design and develop internal platform capabilities,,0,0.0
design and lead projects,,0,0.0
design architecture,6.0,1,1.0
design audio systems,2.0,1,1.0
design automated metadata ingestion processes,,0,0.0
design code,6.0,1,1.0
design commercial projects,6.0,1,1.0
design complex CIS solutions,6.0,1,1.0
design components,,0,0.0
design content systems,6.0,1,1.0
design corporate production network,,0,0.0
design dashboards,,0,0.0
design data solutions,6.0,1,1.0
design data stores,,0,0.0
design distributed systems,,0,0.0
design elegantly,6.0,1,1.0
design end-to-end solutions,,0,0.0
design engineering,6.0,1,1.0
design enterprise-grade networks,,0,0.0
design experiences,,0,0.0
design export flows,,0,0.0
design high-rise residential,6.0,1,1.0
design impactful user experiences,6.0,1,1.0
design improvements,5.0,1,1.0
design infrastructure,5.0,1,1.0
design instrumentation and electrical facilities,6.0,1,1.0
design integration solutions,6.0,1,1.0
design internally-used digital products,,0,0.0
design large-scale SaaS and cloud services,,0,0.0
design lattice towers,,0,0.0
design layout,6.0,1,1.0
design learning experiences,6.0,1,1.0
design mechanisms,6.0,1,1.0
design mid-rise residential,6.0,1,1.0
design mixed-use projects,6.0,1,1.0
design moments that matter,,0,0.0
"design packaging components to operate reliably in harsh, high-throughput environments",,0,0.0
design products,,0,0.0
design projects,,0,0.0
design reports,,0,0.0
design residential projects,6.0,1,1.0
design robust evaluation frameworks,8.0,1,1.0
design scalable real-time data streaming platforms,,0,0.0
design schematics,6.0,1,1.0
design software,9.0,1,1.0
design software modules,,0,0.0
design solutions,,0,0.0
design systems,,0,0.0
design systems architecture,,0,0.0
design tools that support decision-making,,0,0.0
design transformative technology,6.0,1,1.0
design visualizations,,0,0.0
determine how technology can add value to a client’s mining operation,,0,0.0
determine proper power settings,2.0,1,1.0
develop AI/ML solutions,6.0,1,1.0
develop Business Intelligence solutions,8.0,1,1.0
develop Java applications,,0,0.0
develop Power Platform applications,2.0,1,1.0
develop a data transformation platform,6.0,1,1.0
develop and configure message transformations,6.0,1,1.0
develop and configure routing logic,6.0,1,1.0
develop and configure services,6.0,1,1.0
develop and maintain CLI tools and packages,,0,0.0
develop and maintain data models,,0,0.0
develop and maintain metadata schemas,,0,0.0
develop and maintain taxonomies,,0,0.0
develop and operate Autonomous Underwater Vehicles (AUVs) and Autonomous Surface Vehicles (USVs),,0,0.0
develop and operate across regions,,0,0.0
develop and operate foundational JavaScript build systems,,0,0.0
develop application code,2.0,1,1.0
develop automation frameworks,6.0,1,1.0
develop backend server,6.0,1,1.0
develop best practices,6.0,1,1.0
develop creatures,,0,0.0
develop critical site functionality,8.0,1,1.0
develop critical thinking skills,6.0,1,1.0
develop dashboards for operations troubleshooting,6.0,1,1.0
develop data analyses,,0,0.0
develop data ingestion pipelines,,0,0.0
develop data models,2.0,1,1.0
develop data solutions,6.0,1,1.0
develop embedded software tools,6.0,1,1.0
develop end-to-end real-time solutions,,0,0.0
develop enhancements to software systems,8.0,1,1.0
develop hardware systems,6.0,1,1.0
develop high-performance data ingestion systems,6.0,1,1.0
develop high-quality data architecture solutions,,0,0.0
develop infrastructure foundation,5.0,1,1.0
develop infrastructure solutions,,0,0.0
develop integration solutions,6.0,1,1.0
develop interfaces between clinical and enterprise systems,,0,0.0
"develop internal tooling, modules, and libraries",,0,0.0
develop knowledge and experience,6.0,1,1.0
develop learning experiences,6.0,1,1.0
"develop low-level Linux boot, BIOS, firmware and embedded software",5.0,1,1.0
develop mathematical models,9.0,1,1.0
develop methods and frameworks,,0,0.0
develop modernization plans,8.0,1,1.0
develop new architectures,6.0,1,1.0
develop new business opportunities,,0,0.0
develop performance,6.0,1,1.0
develop performance analysis capability,9.0,1,1.0
develop process models,2.0,1,1.0
develop product growth,,0,0.0
develop product roadmaps,,0,0.0
develop production-quality code,5.0,1,1.0
develop relationships,,0,0.0
develop reliability,6.0,1,1.0
develop robust pipelines,6.0,1,1.0
develop scalability,6.0,1,1.0
develop scalable distributed systems,6.0,1,1.0
develop scalable software,6.0,1,1.0
develop skills,,0,0.0
develop software,6.0,1,1.0
develop software modules,,0,0.0
develop solutions,6.0,1,1.0
develop technologies,6.0,1,1.0
develop test plans and procedures,6.0,1,1.0
develop tools,6.0,2,1.0
develop working web applications,6.0,1,1.0
diagnose technical issues,6.0,1,1.0
dig into deal mechanics,,0,0.0
direct projects,,0,0.0
disrupt the market,6.0,1,1.0
dive into API design,,0,0.0
dive into back-end logic,,0,0.0
dive into details,6.0,1,1.0
dive into platform-specific native code,,0,0.0
document manufacturing processes,6.0,1,1.0
draft architectural plans,,0,0.0
drive a rigorous interview process,,0,0.0
drive adoption and compliance with information security and privacy practices,6.0,1,1.0
drive adoption of initiatives,,0,0.0
drive business decisions,,0,0.0
drive cross-functional teams,6.0,1,1.0
drive delivery of AI/ML models,8.0,1,1.0
drive delivery of functionality,8.0,1,1.0
drive delivery of maintenance work pieces,8.0,1,1.0
drive delivery of new features,8.0,1,1.0
drive design of AI/ML models,8.0,1,1.0
drive design of hardware products,6.0,1,1.0
drive development of hardware products,6.0,1,1.0
drive environmental ESG strategy,6.0,1,1.0
drive forward mission,,0,0.0
drive growth,,0,0.0
drive high-impact projects,6.0,1,1.0
drive higher conversion,,0,0.0
drive impactful financial insights,5.0,1,1.0
drive industrial components offer,6.0,1,1.0
drive innovation,6.0,2,0.6667
drive innovation,8.0,1,0.3333
drive iteration of hardware products,6.0,1,1.0
drive lasting growth,,0,0.0
drive positive impact,6.0,1,1.0
drive proactive maintenance,5.0,1,1.0
drive product from conception to rollout,8.0,1,1.0
drive progress and efficiency,8.0,1,1.0
drive progress toward better maintainability,,0,0.0
drive strategic growth,6.0,1,1.0
drive success of developer experience program,,0,0.0
drive successful delivery of a portfolio of developments,,0,0.0
drive the automation and optimization of operations,,0,0.0
drive user acquisition,,0,0.0
drive user activation,,0,0.0
drive user monetization,,0,0.0
drive user retention,,0,0.0
edit video content,5.0,1,1.0
elevate conversations,6.0,1,1.0
eliminate manual tasks,5.0,1,1.0
embed AI capabilities,,0,0.0
embed expertise into product development,6.0,1,1.0
embed governance,,0,0.0
embed knowledge into code,,0,0.0
embed modern DevOps practices,,0,0.0
embrace diverse backgrounds,6.0,1,1.0
empower engineers,5.0,1,1.0
empower non-technical teams,,0,0.0
"enable adoption, acceleration, and innovation",,0,0.0
enable and multiply force,,0,0.0
enable enterprise adoption of technologies,5.0,1,1.0
enable internal developers to ship features quickly and safely,,0,0.0
enable meaningful work,,0,0.0
enable technology,2.0,1,1.0
engage in active learning,6.0,1,1.0
engage in confidential conversations,,0,0.0
engage stakeholders,,0,0.0
engage technical teams and business stakeholders,,0,0.0
engage with stakeholders,,0,0.0
enhance Power Platform applications,2.0,1,1.0
enhance internally-used digital products,,0,0.0
enhance large-scale systems,6.0,1,1.0
enhance logistics and integrated value,6.0,1,1.0
enhance performance of data solutions,5.0,1,1.0
enhance platform performance,6.0,1,1.0
enhance platform scalability,6.0,1,1.0
enhance reliability of data solutions,5.0,1,1.0
enhance technology products,6.0,1,1.0
ensure SLAs are met,5.0,1,1.0
ensure Stratum’s goals are aligned,,0,0.0
ensure access to products through sales channel mix,5.0,1,1.0
ensure accurate documentation,,0,0.0
ensure accurate records,6.0,1,1.0
ensure alignment with product vision,6.0,1,1.0
ensure alignment with user experience,6.0,1,1.0
ensure best practices are baked in by default,,0,0.0
ensure cameras operate flawlessly,,0,0.0
ensure cohesive delivery across the team,6.0,1,1.0
ensure compliance with quality standards,6.0,1,1.0
ensure compliance with statutes,6.0,1,1.0
ensure confidentiality of sensitive information,2.0,1,1.0
ensure consistent delivery of high-quality retirement communities,,0,0.0
ensure critical business activities are achieved,,0,0.0
ensure cultural responsiveness,6.0,1,1.0
ensure data integrity,,0,0.0
"ensure developments are commercially viable, technically robust, and aligned with customer proposition",,0,0.0
ensure effective project delivery,5.0,1,1.0
ensure high-performance communications,6.0,1,1.0
ensure high-quality delivery through functional design,,0,0.0
ensure high-quality delivery through systematic testing,,0,0.0
ensure high-quality project delivery,6.0,1,1.0
"ensure high-quality, scalable solutions",,0,0.0
ensure integrity of financial information,6.0,1,1.0
ensure issue resolution,5.0,1,1.0
ensure lighting operates flawlessly,,0,0.0
ensure microphones operate flawlessly,,0,0.0
ensure mission success,,0,0.0
ensure network fabrics and devices operate as expected,,0,0.0
ensure on-time delivery,8.0,1,1.0
ensure optimal customer experience,5.0,1,1.0
ensure optimal inventory levels,5.0,1,1.0
ensure optimal performance,6.0,1,1.0
ensure pedagogical soundness,6.0,1,1.0
ensure planning function excellence,,0,0.0
ensure platforms are production ready,5.0,1,1.0
"ensure portfolio progresses in accordance with programme, investment strategy, and quality standards",,0,0.0
ensure privacy compliance,,0,0.0
ensure process readiness,6.0,1,1.0
ensure production software operates flawlessly,,0,0.0
ensure products are reliable and safe,6.0,1,1.0
ensure products meet customer specifications,6.0,1,1.0
ensure products meet standards,6.0,1,1.0
"ensure projects are delivered safely, efficiently, and in line with commercial objectives",,0,0.0
ensure quality and regulatory compliance,,0,0.0
ensure quality control,,0,0.0
ensure regulatory compliance,6.0,1,1.0
ensure reliable communications,6.0,1,1.0
ensure reliable integration architecture,6.0,1,1.0
ensure safety is baked in by default,,0,0.0
ensure scalable integration architecture,6.0,1,1.0
ensure seamless building,,0,0.0
ensure seamless deployment,,0,0.0
ensure seamless execution of live performances,2.0,1,1.0
ensure seamless integration,,0,0.0
ensure seamless testing,,0,0.0
ensure secure integration architecture,6.0,1,1.0
ensure security is baked in by default,,0,0.0
ensure smooth running of department,2.0,1,1.0
"ensure strong performance, collaboration, and accountability",,0,0.0
ensure successful adoption of platforms,,0,0.0
ensure superior sound quality,2.0,1,1.0
ensure system stability,,0,0.0
ensure system success,6.0,1,1.0
ensure the EPR solution complies with safety and governance requirements,,0,0.0
ensure the EPR solution meets user needs,,0,0.0
ensure user adoption,,0,0.0
escalate issues,2.0,1,1.0
establish and implement security solutions,6.0,1,1.0
establish automated mobile CI/CD pipelines,,0,0.0
establish key financial targets,6.0,1,1.0
evaluate Stratum models,,0,0.0
evaluate clients existing Kriging models,,0,0.0
evaluate competitive bids,6.0,1,1.0
