skill,n_jobs_total,n_jobs_with_education,dominant_kkni,education_distribution_json
collaborate with a global team,1,1,6.0,"{""6"": 1}"
collaborate with a multi-disciplinary team,1,1,6.0,"{""6"": 1}"
collaborate with a team,1,0,,{}
collaborate with backend teams,1,0,,{}
collaborate with cross-functional teams,5,4,8.0,"{""5"": 1, ""6"": 1, ""8"": 2}"
collaborate with design teams,1,0,,{}
collaborate with distributed team,1,1,6.0,"{""6"": 1}"
collaborate with diverse teams,1,0,,{}
collaborate with engineering team on scaling,1,0,,{}
"collaborate with engineers, product managers, designers, collaborators, partners",1,1,6.0,"{""6"": 1}"
collaborate with internal teams,1,1,6.0,"{""6"": 1}"
collaborate with interns,1,1,6.0,"{""6"": 1}"
collaborate with others,1,0,,{}
collaborate with product managers and engineers,1,1,6.0,"{""6"": 1}"
collaborate with product teams,1,0,,{}
collaborate with stakeholders,1,1,5.0,"{""5"": 1}"
collaborate with team,10,5,6.0,"{""6"": 4, ""9"": 1}"
collaborate with team and offer feedback,1,0,,{}
collaborate with teams,1,1,9.0,"{""9"": 1}"
collect complex datasets,1,1,6.0,"{""6"": 1}"
combine portfolio with partner technologies,1,1,6.0,"{""6"": 1}"
combine strategic thinking with operational delivery,1,0,,{}
commit to multiple courses,1,0,,{}
communicate about applications,1,1,2.0,"{""2"": 1}"
communicate clearly and effectively with guests,1,1,2.0,"{""2"": 1}"
communicate clearly and effectively with management,1,1,2.0,"{""2"": 1}"
communicate clearly and effectively with team members,1,1,2.0,"{""2"": 1}"
communicate corrective actions to leadership,1,1,6.0,"{""6"": 1}"
communicate effectively,6,3,2.0,"{""2"": 1, ""8"": 1, ""9"": 1}"
communicate ideas,2,1,6.0,"{""6"": 1}"
communicate in English,1,0,,{}
communicate results,1,1,2.0,"{""2"": 1}"
communicate risk-based recommendations,1,1,6.0,"{""6"": 1}"
communicate strongly,1,1,2.0,"{""2"": 1}"
communicate with empathy,1,1,6.0,"{""6"": 1}"
communicate with precision,1,1,6.0,"{""6"": 1}"
communicate with technical leaders,1,1,6.0,"{""6"": 1}"
complete projects with a team-first approach,1,0,,{}
comply with health and safety measures,1,0,,{}
conceptualize AI integration,1,0,,{}
conduct customer discovery,1,0,,{}
conduct deep-dive competency interviews,1,0,,{}
conduct experiment analyses,1,0,,{}
conduct technical peer reviews,1,0,,{}
configure Intune compliance policies,1,0,,{}
configure Intune configuration profiles,1,0,,{}
configure Intune security baselines,1,0,,{}
configure Jenkins,1,0,,{}
configure Windows Update for Business via Intune,1,0,,{}
configure industrial processes,1,1,6.0,"{""6"": 1}"
connect building operations data,1,0,,{}
connect financial systems,1,0,,{}
connect property management systems,1,0,,{}
connect tenant platforms,1,0,,{}
construct platform and sub-systems,1,1,6.0,"{""6"": 1}"
context switch across multiple projects,1,1,6.0,"{""6"": 1}"
"continuously improve build tooling, developer workflows, and infrastructure",1,0,,{}
continuously improve processes to support scalability,1,0,,{}
continuously improve the developer experience,1,0,,{}
contribute innovative solutions,1,1,6.0,"{""6"": 1}"
contribute specialist expertise,1,1,6.0,"{""6"": 1}"
contribute technical expertise to tool development,1,1,6.0,"{""6"": 1}"
contribute to adoption activities,1,0,,{}
contribute to automation initiatives,1,1,6.0,"{""6"": 1}"
contribute to continuous improvement of internally built tools,1,0,,{}
contribute to data validation,1,0,,{}
contribute to design system,1,1,6.0,"{""6"": 1}"
contribute to feature design,1,0,,{}
contribute to frontend architecture,1,0,,{}
contribute to integration testing,1,0,,{}
contribute to pre-sales and bids,1,0,,{}
contribute to process improvements,1,1,5.0,"{""5"": 1}"
"contribute to real-time control, safety, autonomy and mission execution",1,0,,{}
contribute to teamwork,1,1,2.0,"{""2"": 1}"
contribute to testing,1,0,,{}
"contribute to the development of RFCs, standards, and frameworks",1,0,,{}
contribute to the growth and success of a consulting practice,1,0,,{}
contribute to wider objectives,1,0,,{}
convert inbound interest into pipeline,1,0,,{}
coordinate badging at location,1,1,2.0,"{""2"": 1}"
coordinate design and production effort,1,0,,{}
coordinate junior staff,1,1,6.0,"{""6"": 1}"
coordinate office activities,1,1,2.0,"{""2"": 1}"
coordinate people-related projects,1,0,,{}
coordinate program execution,1,1,6.0,"{""6"": 1}"
coordinate projects,1,0,,{}
coordinate releases,1,1,5.0,"{""5"": 1}"
coordinate shipments and deliveries,1,1,2.0,"{""2"": 1}"
coordinate support within a division,1,0,,{}
coordinate tasks in a fast-paced setting,1,1,2.0,"{""2"": 1}"
coordinate with asset management,1,1,2.0,"{""2"": 1}"
coordinate with building management and vendors,1,1,2.0,"{""2"": 1}"
coordinate with electricians,1,1,2.0,"{""2"": 1}"
coordinate with internal teams and external stakeholders,1,1,2.0,"{""2"": 1}"
coordinate with shippers,1,1,2.0,"{""2"": 1}"
coordinate with suppliers,1,1,2.0,"{""2"": 1}"
coordinate with teams,1,1,2.0,"{""2"": 1}"
"craft a polished, dynamic mobile UI",1,0,,{}
craft benchmarks,1,1,6.0,"{""6"": 1}"
craft software,1,0,,{}
craft the ultimate UX,1,1,6.0,"{""6"": 1}"
craft tools,1,1,6.0,"{""6"": 1}"
craft tools for compute developers,1,1,9.0,"{""9"": 1}"
create CI/CD pipelines,1,0,,{}
create Power BI dashboards,1,1,8.0,"{""8"": 1}"
create SOPs,1,0,,{}
create a polished office environment,1,1,2.0,"{""2"": 1}"
create an inclusive environment,1,1,6.0,"{""6"": 1}"
create application architecture,1,0,,{}
create build jobs,1,0,,{}
create business and revenue models,1,0,,{}
create content,1,0,,{}
create data processing capabilities,1,0,,{}
create design documentation,1,1,2.0,"{""2"": 1}"
create documentation,2,0,,{}
"create fun, share-worthy moments of reflection",1,0,,{}
create global offer launch preparation,1,1,6.0,"{""6"": 1}"
"create high-performing, sustainable, and award-winning buildings",1,1,6.0,"{""6"": 1}"
create industrial processes,1,1,6.0,"{""6"": 1}"
create mechanical components,1,1,9.0,"{""9"": 1}"
create operational documentation,1,0,,{}
create out-of-the-box observability,1,0,,{}
create paginated reports,1,1,8.0,"{""8"": 1}"
create personalized experiences,1,1,5.0,"{""5"": 1}"
create python code,1,0,,{}
create robust data models,1,0,,{}
create solutions,1,0,,{}
create state management,1,0,,{}
create strong delivery processes,1,1,8.0,"{""8"": 1}"
create strong documentation,1,0,,{}
create technical documentation,1,1,2.0,"{""2"": 1}"
create tests,1,0,,{}
create value for developers,1,0,,{}
create visual reports,1,1,6.0,"{""6"": 1}"
deal with complex escalated issues,1,1,6.0,"{""6"": 1}"
debug hardware,1,1,6.0,"{""6"": 1}"
debug software,1,1,9.0,"{""9"": 1}"
debug systems,1,1,2.0,"{""2"": 1}"
decide on correct procedures,1,1,2.0,"{""2"": 1}"
decouple platform from games,1,0,,{}
define architectural patterns,1,1,8.0,"{""8"": 1}"
define dependency sequencing,1,1,8.0,"{""8"": 1}"
define product vision,1,0,,{}
define requirements,1,1,5.0,"{""5"": 1}"
define service boundaries,1,1,8.0,"{""8"": 1}"
define technology strategies,1,1,2.0,"{""2"": 1}"
deliberately document for the future,1,0,,{}
deliver AI-powered products,1,0,,{}
deliver DevOps advisory,1,0,,{}
deliver Streamlit app,1,1,6.0,"{""6"": 1}"
deliver a course,1,1,6.0,"{""6"": 1}"
deliver a first class service,1,1,8.0,"{""8"": 1}"
deliver a frictionless buying experience,1,0,,{}
deliver advanced full life cycle professional and technical solutions,1,0,,{}
deliver change initiatives,1,0,,{}
deliver client solution,1,0,,{}
deliver complex CIS solutions,1,1,6.0,"{""6"": 1}"
deliver complex development programmes,1,0,,{}
deliver complex initiatives,1,0,,{}
deliver complex projects,1,0,,{}
deliver critical insights,1,1,5.0,"{""5"": 1}"
deliver decision support,1,1,5.0,"{""5"": 1}"
"deliver developments that meet commercial, technical, and design excellence",1,0,,{}
deliver digital solutions,1,0,,{}
deliver exceptional customer experience,1,0,,{}
deliver for customers,1,0,,{}
deliver functionality,1,0,,{}
"deliver gains in reliability, efficiency and sustainability",1,0,,{}
deliver growth outcomes,1,0,,{}
deliver high-performance experiences,1,0,,{}
deliver high-quality analytics,1,1,6.0,"{""6"": 1}"
deliver high-quality work,2,1,6.0,"{""6"": 1}"
deliver iOS apps,1,1,6.0,"{""6"": 1}"
deliver impactful analytics,1,0,,{}
deliver on production ownership,1,0,,{}
deliver optimal software solutions,1,1,8.0,"{""8"": 1}"
"deliver reliable, high-performance software",1,0,,{}
deliver self-service registration and governance,1,0,,{}
deliver solutions that balance user experience with developer experience,1,0,,{}
deliver technologies and solutions,1,0,,{}
deliver technology products,1,1,6.0,"{""6"": 1}"
deliver user experience,1,1,2.0,"{""2"": 1}"
deliver value,1,0,,{}
deliver value to customers,1,0,,{}
deliver value-added business analysis,1,1,6.0,"{""6"": 1}"
democratize observability,1,0,,{}
demonstrate clear written and oral communications,1,0,,{}
demonstrate strong organisational skills,1,0,,{}
demonstrate technical expertise,1,1,6.0,"{""6"": 1}"
demonstrate the product to stakeholders,1,0,,{}
demonstrate understanding of electronics principles,1,1,6.0,"{""6"": 1}"
demonstrate understanding of manufacturing services processes,1,1,6.0,"{""6"": 1}"
deploy Microsoft Intune,1,0,,{}
deploy advanced algorithms,1,1,9.0,"{""9"": 1}"
deploy application code,1,1,2.0,"{""2"": 1}"
deploy code,1,1,6.0,"{""6"": 1}"
deploy data solutions,1,1,6.0,"{""6"": 1}"
deploy embedded systems,1,1,8.0,"{""8"": 1}"
deploy high-performance data ingestion systems,1,1,6.0,"{""6"": 1}"
deploy high-scale communication systems,1,0,,{}
deploy multicast market data delivery platforms,1,0,,{}
deploy network infrastructure,1,0,,{}
deploy retrieval-enhanced LLMs and hybrid retrieval pipelines,1,1,8.0,"{""8"": 1}"
"deploy, test, or troubleshoot autonomous systems in operational environments",1,0,,{}
design AI/ML solutions,1,1,6.0,"{""6"": 1}"
design a React Native architecture,1,0,,{}
design advanced artificial intelligence solutions,1,1,6.0,"{""6"": 1}"
design and develop internal platform capabilities,1,0,,{}
design and lead projects,1,0,,{}
design architecture,1,1,6.0,"{""6"": 1}"
design audio systems,1,1,2.0,"{""2"": 1}"
design automated metadata ingestion processes,1,0,,{}
design code,1,1,6.0,"{""6"": 1}"
design commercial projects,1,1,6.0,"{""6"": 1}"
design complex CIS solutions,1,1,6.0,"{""6"": 1}"
design components,1,0,,{}
design content systems,1,1,6.0,"{""6"": 1}"
design corporate production network,1,0,,{}
design dashboards,1,0,,{}
design data solutions,1,1,6.0,"{""6"": 1}"
design data stores,1,0,,{}
design distributed systems,1,0,,{}
design elegantly,1,1,6.0,"{""6"": 1}"
design end-to-end solutions,1,0,,{}
design engineering,1,1,6.0,"{""6"": 1}"
design enterprise-grade networks,1,0,,{}
design experiences,1,0,,{}
design export flows,1,0,,{}
design high-rise residential,1,1,6.0,"{""6"": 1}"
design impactful user experiences,1,1,6.0,"{""6"": 1}"
design improvements,1,1,5.0,"{""5"": 1}"
design infrastructure,1,1,5.0,"{""5"": 1}"
design instrumentation and electrical facilities,1,1,6.0,"{""6"": 1}"
design integration solutions,1,1,6.0,"{""6"": 1}"
design internally-used digital products,1,0,,{}
design large-scale SaaS and cloud services,1,0,,{}
design lattice towers,1,0,,{}
design layout,1,1,6.0,"{""6"": 1}"
design learning experiences,1,1,6.0,"{""6"": 1}"
design mechanisms,1,1,6.0,"{""6"": 1}"
design mid-rise residential,1,1,6.0,"{""6"": 1}"
design mixed-use projects,1,1,6.0,"{""6"": 1}"
design moments that matter,1,0,,{}
"design packaging components to operate reliably in harsh, high-throughput environments",1,0,,{}
design products,1,0,,{}
design projects,1,0,,{}
design reports,1,0,,{}
design residential projects,1,1,6.0,"{""6"": 1}"
design robust evaluation frameworks,1,1,8.0,"{""8"": 1}"
design scalable real-time data streaming platforms,1,0,,{}
design schematics,1,1,6.0,"{""6"": 1}"
design software,1,1,9.0,"{""9"": 1}"
design software modules,1,0,,{}
design solutions,1,0,,{}
design systems,1,0,,{}
design systems architecture,1,0,,{}
design tools that support decision-making,1,0,,{}
design transformative technology,1,1,6.0,"{""6"": 1}"
design visualizations,1,0,,{}
determine how technology can add value to a client’s mining operation,1,0,,{}
determine proper power settings,1,1,2.0,"{""2"": 1}"
develop AI/ML solutions,1,1,6.0,"{""6"": 1}"
develop Business Intelligence solutions,1,1,8.0,"{""8"": 1}"
develop Java applications,1,0,,{}
develop Power Platform applications,1,1,2.0,"{""2"": 1}"
develop a data transformation platform,1,1,6.0,"{""6"": 1}"
develop and configure message transformations,1,1,6.0,"{""6"": 1}"
develop and configure routing logic,1,1,6.0,"{""6"": 1}"
develop and configure services,1,1,6.0,"{""6"": 1}"
develop and maintain CLI tools and packages,1,0,,{}
develop and maintain data models,1,0,,{}
develop and maintain metadata schemas,1,0,,{}
develop and maintain taxonomies,1,0,,{}
develop and operate Autonomous Underwater Vehicles (AUVs) and Autonomous Surface Vehicles (USVs),1,0,,{}
develop and operate across regions,1,0,,{}
develop and operate foundational JavaScript build systems,1,0,,{}
develop application code,1,1,2.0,"{""2"": 1}"
develop automation frameworks,1,1,6.0,"{""6"": 1}"
develop backend server,1,1,6.0,"{""6"": 1}"
develop best practices,1,1,6.0,"{""6"": 1}"
develop creatures,1,0,,{}
develop critical site functionality,1,1,8.0,"{""8"": 1}"
develop critical thinking skills,1,1,6.0,"{""6"": 1}"
develop dashboards for operations troubleshooting,1,1,6.0,"{""6"": 1}"
develop data analyses,1,0,,{}
develop data ingestion pipelines,1,0,,{}
develop data models,1,1,2.0,"{""2"": 1}"
develop data solutions,1,1,6.0,"{""6"": 1}"
develop embedded software tools,1,1,6.0,"{""6"": 1}"
develop end-to-end real-time solutions,1,0,,{}
develop enhancements to software systems,1,1,8.0,"{""8"": 1}"
develop hardware systems,1,1,6.0,"{""6"": 1}"
develop high-performance data ingestion systems,1,1,6.0,"{""6"": 1}"
develop high-quality data architecture solutions,1,0,,{}
develop infrastructure foundation,1,1,5.0,"{""5"": 1}"
develop infrastructure solutions,1,0,,{}
develop integration solutions,1,1,6.0,"{""6"": 1}"
develop interfaces between clinical and enterprise systems,1,0,,{}
"develop internal tooling, modules, and libraries",1,0,,{}
develop knowledge and experience,1,1,6.0,"{""6"": 1}"
develop learning experiences,1,1,6.0,"{""6"": 1}"
"develop low-level Linux boot, BIOS, firmware and embedded software",1,1,5.0,"{""5"": 1}"
develop mathematical models,1,1,9.0,"{""9"": 1}"
develop methods and frameworks,1,0,,{}
develop modernization plans,1,1,8.0,"{""8"": 1}"
develop new architectures,1,1,6.0,"{""6"": 1}"
develop new business opportunities,1,0,,{}
develop performance,1,1,6.0,"{""6"": 1}"
develop performance analysis capability,1,1,9.0,"{""9"": 1}"
develop process models,1,1,2.0,"{""2"": 1}"
develop product growth,1,0,,{}
develop product roadmaps,1,0,,{}
develop production-quality code,1,1,5.0,"{""5"": 1}"
develop relationships,1,0,,{}
develop reliability,1,1,6.0,"{""6"": 1}"
develop robust pipelines,1,1,6.0,"{""6"": 1}"
develop scalability,1,1,6.0,"{""6"": 1}"
develop scalable distributed systems,1,1,6.0,"{""6"": 1}"
develop scalable software,1,1,6.0,"{""6"": 1}"
develop skills,1,0,,{}
develop software,1,1,6.0,"{""6"": 1}"
develop software modules,1,0,,{}
develop solutions,1,1,6.0,"{""6"": 1}"
develop technologies,1,1,6.0,"{""6"": 1}"
develop test plans and procedures,1,1,6.0,"{""6"": 1}"
develop tools,2,2,6.0,"{""6"": 2}"
develop working web applications,1,1,6.0,"{""6"": 1}"
diagnose technical issues,1,1,6.0,"{""6"": 1}"
