gold_id,job_id,skill,type,bloom,confidence_score,confidence_tier,source,semantic_density,context_agreement,is_overlap,is_correct,type_label,bloom_label,labeler_id,notes
gs_8b9491a2750a,in-09574b6c1fddf269,mentoring,Hard,Apply,0.295,Very Low,BERT (standalone),0.87,0.81,True,,,,,
gs_2dad9db429f4,in-3c5ec547d0067972,enhance software solutions,Hard,Create,1.0,Very High,BERT+LLM,0.84,1.25,True,,,,,
gs_55327d851d76,in-415692e261f3f44e,"work closely with other engineers, product designers, and a product manager",Soft,,0.641,Medium,LLM,0.72,0.96,True,,,,,
gs_0f63473ec6ef,in-6685e57ad6f5aafc,answer phones,Hard,Apply,0.6,Medium,LLM,0.78,0.96,False,,,,,
gs_4c7991e94e44,in-80680d1ed6b026ec,verbal communications in noisy environments,Soft,,0.72,Medium High,BERT (standalone),0.83,0.86,False,,,,,
gs_0d9783a66c2f,in-d7c7b1993dd0ca84,communicate effectively,Soft,,0.882,High,BERT+LLM,0.9,0.94,False,,,,,
gs_56030a9d1188,in-dd41ff7c67a4bd13,maintain store cleanliness,Hard,Analyze,0.723,Medium High,LLM,0.84,0.96,False,,,,,
gs_512fed3a8bcc,in-e353b1f2e563d240,thrive on experimentation,Hard,Apply,0.669,Medium,BERT+LLM,0.87,0.96,True,,,,,
gs_a7262de8f86c,in-6390dd2a9a4e2302,shaping best practice,Hard,Apply,0.689,Medium,BERT (standalone),0.79,0.89,False,,,,,
gs_0193809653e3,in-61e395f4c4bf9461,question how the world works,Soft,,0.611,Medium,LLM,0.74,0.91,False,,,,,
gs_b40344998e67,in-60ba5491d37dd0d2,nurture client relationships,Soft,,0.906,Very High,BERT+LLM,0.87,0.92,False,,,,,
gs_20d50fc8a13d,in-8af782c9a14e990f,syncing.,Hard,Apply,0.488,Low,BERT (standalone),0.84,0.82,False,,,,,
gs_f7cbb5796819,in-5b2ab8d66ffd6b5b,build CI/CD pipelines,Hard,Create,0.985,Very High,BERT+LLM,0.76,1.22,False,,,,,
gs_c8106a59f886,in-3b958b4b7543172a,engineering practices.,Hard,Create,0.592,Medium Low,BERT (standalone),0.9,0.91,False,,,,,
gs_dcbdc7ba8531,in-e9392b664b8f9f1e,approve estimates,Hard,Evaluate,0.769,Medium High,LLM,0.84,1.02,False,,,,,
gs_cb8c604ad76c,in-59f779987e522560,deliver standout digital experiences,Hard,Apply,0.598,Medium Low,LLM,0.85,0.9,False,,,,,
gs_784415c16b38,in-78cd7965b3babd52,translate complex business needs into clear,Hard,Understand,0.647,Medium,BERT (standalone),0.79,0.84,True,,,,,
gs_cbc0c91fdde2,in-eddb763fa4b87843,provide consultative leadership,Soft,,0.647,Medium,LLM,0.89,0.94,False,,,,,
gs_f9067f2588ea,in-6f000010e82b694d,analytical,Hard,Apply,0.483,Low,BERT (standalone),0.9,0.85,False,,,,,
gs_33ecce56c795,in-84553aba6f1e5c40,Analyzing,Hard,Apply,0.503,Medium Low,BERT (standalone),0.87,0.84,False,,,,,
gs_020f4e429365,in-2b7359c77930b7aa,collaborate with Indigenous partners,Soft,,0.664,Medium,LLM,0.85,0.93,False,,,,,
gs_e602b5b32017,in-7bf3a0681228a2cf,ensure projects achieve bar-raising quality standards,Hard,Analyze,0.763,Medium High,LLM,0.84,0.97,False,,,,,
gs_93c217907a18,in-8d63bfe94f3953e7,technology,Hard,Analyze,0.453,Low,BERT (standalone),0.9,0.85,False,,,,,
gs_34630ebdb692,in-4608cbd6263e6676,shape the future of AI,Soft,,0.624,Medium,LLM,0.71,0.9,False,,,,,
gs_b57e2fcf1e4c,in-b01e64c3266f1614,dig deep with curiosity,Soft,,0.781,Medium High,BERT+LLM,0.75,1.23,False,,,,,
gs_31aef0b6c5df,in-da846069a5df5744,maintain high level of production rates,Soft,,0.838,High,BERT+LLM,0.78,1.27,False,,,,,
gs_15f99600a6ff,in-1bb0827c7ca4e421,filter,Hard,Apply,0.493,Low,BERT (standalone),0.78,0.84,True,,,,,
gs_276a706ae34e,in-458349886b25645e,support resolution of technical issues,Soft,,0.659,Medium,LLM,0.8,0.97,True,,,,,
gs_d634696a149e,in-f4926987bd31d0f7,deliver Oracle EBS/WMS functionality,Hard,Apply,0.995,Very High,BERT+LLM,0.81,1.26,False,,,,,
gs_ae3ebbb0a0e1,in-cc288372730818c5,program sponsors.,Hard,Create,0.635,Medium,BERT (standalone),0.84,0.84,False,,,,,
gs_3d6bcf82acb6,in-6fb188a247cfbb07,Provide technical review,Hard,Evaluate,0.619,Medium,BERT (standalone),0.82,0.83,False,,,,,
gs_a0184c4c059a,in-7fa5da0d41946dbd,deliver high-quality solutions,Soft,,0.82,High,BERT+LLM,0.86,1.27,False,,,,,
gs_346c3cebb1fe,in-d8251086aed4df9a,drive end-to-end project delivery,Hard,Apply,1.0,Very High,BERT+LLM,0.79,1.27,False,,,,,
gs_1fb62954539c,in-77f6a9a4cf790d00,communication,Soft,,0.447,Low,BERT (standalone),0.9,0.87,False,,,,,
gs_5920599aa30f,in-d1b046f5ebc0947e,unlock efficiencies,Hard,Apply,0.925,Very High,BERT+LLM,0.89,1.19,False,,,,,
gs_1e1373e60884,in-e1b669b81490230e,ensure supportability,Hard,Evaluate,0.546,Medium Low,BERT (standalone),0.9,0.84,True,,,,,
gs_92e269b39bc3,in-f6fb8a4fb069d8f9,foster a respectful workplace,Soft,,0.653,Medium,LLM,0.8,0.97,False,,,,,
gs_9a6c9d35744b,in-0afaefc6c662ac8f,bring a new campaign to life,Hard,Apply,0.454,Low,BERT (standalone),0.72,0.86,False,,,,,
gs_944cc1990bd4,in-0dce0c98e56eca1d,design and govern programme roadmap,Hard,Create,0.729,Medium High,LLM,0.79,0.94,False,,,,,
gs_14d62ed13ed0,in-add46601f73a8803,deliver comprehensive solutions,Hard,Apply,0.501,Medium Low,BERT (standalone),0.89,0.84,True,,,,,
gs_75e4921f596c,in-c84b4b6602d38358,communication,Soft,,0.8,High,BERT (standalone),0.9,0.97,True,,,,,
gs_5f0291b6eb76,in-786a6033717c7e3b,troubleshooting skills,Hard,Apply,0.549,Medium Low,BERT (standalone),0.9,0.87,False,,,,,
gs_6523fd1b85d5,in-fd43cfb1aa6bc9ce,interoperability,Hard,Apply,0.559,Medium Low,BERT (standalone),0.9,0.93,False,,,,,
gs_13006d12a207,in-6fe02cbfda66090b,collaborate with subject-matter experts,Soft,,0.658,Medium,LLM,0.87,0.96,False,,,,,
gs_17d924105e6d,in-5ea72dce86c3b3b0,replanning processes,Soft,,0.633,Medium,BERT (standalone),0.89,0.84,True,,,,,
gs_f1c8d18641d9,in-1547c605c2149cd0,architect a supporter-centric design strategy,Hard,Create,1.0,Very High,BERT+LLM,0.82,1.21,False,,,,,
gs_1f41723f81c2,in-9963a3b93aba2822,strategic,Hard,Evaluate,0.499,Low,BERT (standalone),0.87,0.88,False,,,,,
gs_b2a3321f3a3f,in-a846e71c3ff81158,follow through with solid workable solutions for design problems.,Hard,Create,0.677,Medium,BERT (standalone),0.79,0.88,True,,,,,
gs_237d741699ff,in-66025923f3135890,cutter,Hard,Apply,0.5,Medium Low,BERT (standalone),0.78,0.85,False,,,,,
gs_96ee57713bde,in-26ff40787dacdce9,fixing bugs.,Hard,Apply,0.479,Low,BERT (standalone),0.77,0.82,True,,,,,
gs_eaed903d8406,in-35c59bff130105c2,"performing ""walking""",Hard,Apply,0.448,Low,BERT (standalone),0.89,0.83,False,,,,,
gs_b5d8a17e4975,in-28b7af0f7506924d,Exercising sound judgment.,Hard,Apply,0.511,Medium Low,BERT (standalone),0.84,0.86,False,,,,,
gs_ccca31532ddc,in-f13f346ef21c4daf,help customers realize value,Soft,,0.621,Medium,LLM,0.79,0.92,False,,,,,
gs_1f7594163937,in-849de8c403ec61ba,manage risk,Soft,,0.602,Medium,LLM,0.75,0.9,True,,,,,
gs_d8dc5adf06b7,in-8932dce1aaf56c94,optimize,Hard,Evaluate,0.643,Medium,BERT (standalone),0.84,0.87,False,,,,,
gs_9e8b466adf69,in-c8deaa55ec0805e6,assess Concept of Operations,Hard,Evaluate,0.757,Medium High,LLM,0.79,0.97,False,,,,,
gs_7a81126263b2,in-f5a95943e9fa9e7d,Researches,Hard,Remember,0.538,Medium Low,BERT (standalone),0.9,0.84,False,,,,,
gs_2b5cce282368,in-a15384a79fd3a7b0,efficiently,Hard,Apply,0.337,Very Low,BERT (standalone),0.9,0.84,False,,,,,
gs_b4b513c003cf,in-d9bee15dc9a1d9e9,build new tooling,Hard,Create,1.0,Very High,BERT+LLM,0.77,1.25,False,,,,,
gs_abf0f44abbbb,in-3988d7f57d15fb0e,de-risk delivery,Hard,Apply,0.614,Medium,LLM,0.83,0.93,False,,,,,
gs_be0eec6ea65e,in-98bb10e63b4da843,adoption of key systems—including,Hard,Apply,0.511,Medium Low,BERT (standalone),0.83,0.87,False,,,,,
gs_fc25f308ad36,in-34a64f372c1cce81,deliver results for clients,Soft,,0.645,Medium,LLM,0.78,0.96,False,,,,,
gs_703f645d12de,in-3e32c55e551efbef,"work with IT, architecture, and governance teams",Soft,,0.675,Medium,LLM,0.78,0.92,False,,,,,
gs_f6ee573060df,in-4e1befdfff6d4d93,collaborate with people across AWS,Soft,,0.49,Low,BERT+LLM,0.8,0.9,False,,,,,
gs_d77d24bf3ac8,in-a83d4bb7aa78d11d,divide accurately,Hard,Evaluate,0.549,Medium Low,BERT (standalone),0.84,0.88,False,,,,,
gs_f504b9d2d54b,in-cc8409cfccad13db,simple terms,Hard,Apply,0.502,Medium Low,BERT (standalone),0.77,0.86,False,,,,,
gs_f49810342aff,in-f0475348f8b82e38,sufficient risk assessments are conducted of,Hard,Evaluate,0.547,Medium Low,BERT (standalone),0.8,0.89,False,,,,,
gs_ed3bc3857586,in-ff079e8c6cd49b4c,work in a team,Soft,,0.661,Medium,LLM,0.68,0.92,False,,,,,
gs_5403b4ef46c7,in-b34ae5cd2608f219,Management:,Soft,,0.376,Very Low,BERT (standalone),0.9,0.86,False,,,,,
gs_b13b16124c28,in-16dcb30040c44b17,perform implementation,Hard,Apply,0.762,Medium High,LLM,0.9,0.96,False,,,,,
gs_c4081c09694e,in-c14196f773d97ab4,design services,Hard,Create,0.745,Medium High,LLM,0.81,0.95,False,,,,,
gs_5572bc13eeb3,in-cfb0245340997b5b,work on console clients,Hard,Apply,0.606,Medium,LLM,0.75,0.93,False,,,,,
gs_1585fc81d9a4,in-4cb5997f9402c133,work collaboratively with diverse groups,Soft,,0.865,High,BERT+LLM,0.82,1.34,False,,,,,
gs_796f59c60e16,in-02a3d623a085ea98,technical strategies,Hard,Evaluate,0.54,Medium Low,BERT (standalone),0.89,0.84,False,,,,,
gs_f2513f752071,in-75d817277b6c5acd,analysis of structures,Hard,Analyze,0.552,Medium Low,BERT (standalone),0.8,0.91,False,,,,,
gs_9d6c3f9dd966,in-6c73fe5a6785a156,build foundational infrastructure,Hard,Create,1.0,Very High,BERT+LLM,0.86,1.2,True,,,,,
gs_7ec0236dac21,in-03af03bb309e4e9f,research new techniques,Hard,Remember,0.684,Medium,LLM,0.81,0.99,False,,,,,
gs_b4e0458a39af,in-5061a0e4bbf368d8,Improve quality.,Hard,Create,0.64,Medium,BERT (standalone),0.83,0.82,False,,,,,
gs_5c8e998f7f3a,in-fbbbb9418ec281c1,balance delivery pressures with long-term sustainability,Soft,,0.668,Medium,LLM,0.86,0.98,False,,,,,
gs_05f1f1178f81,in-6acecb7211ca5c73,ensure teams meet performance requirements,Soft,,0.695,Medium,LLM,0.83,0.94,True,,,,,
gs_c3fb5a5e2f67,in-cbfdd67bf4bf2fd1,build and operate large-scale and distributed systems,Hard,Apply,0.419,Low,LLM,0.72,0.95,False,,,,,
gs_cbb37d28026f,in-0653b281affb2f95,speak the domain language naturally,Soft,,0.68,Medium,BERT+LLM,0.79,1.25,True,,,,,
gs_52ff82252638,in-b7d65b845f072f73,propose failover strategies,Hard,Evaluate,0.89,High,LLM,0.85,1.28,False,,,,,
gs_6c883b463c07,in-6f9340cafddb99e6,communication skills,Soft,,0.698,Medium,BERT (standalone),0.89,0.83,False,,,,,
gs_63d65eca893e,in-be615c88283be9ca,support best practices,Soft,,0.642,Medium,LLM,0.8,0.95,False,,,,,
gs_24b43b810d2b,in-f07e8de958d159a3,ensure that,Hard,Analyze,0.537,Medium Low,BERT (standalone),0.75,0.84,False,,,,,
gs_9bf1b33b930d,in-5cb713f9750eda67,focusing on solutions,Hard,Apply,0.515,Medium Low,BERT (standalone),0.79,0.88,False,,,,,
gs_39380d8aebd6,in-82ec6810ed181f37,use MS Excel to create budget spreadsheets,Hard,Create,0.725,Medium High,LLM,0.75,0.94,False,,,,,
gs_d8dded655c3a,in-3be1f28528f13280,occasionally model coordination meetings.,Hard,Create,0.702,Medium High,BERT (standalone),0.89,0.9,False,,,,,
gs_488a2d378e36,in-ed221142e18a815f,deliver integrated framework,Hard,Create,1.0,Very High,BERT+LLM,0.98,1.24,True,,,,,
gs_e067a3762893,in-928a2da34e5cf6a6,find new storage opportunities,Hard,Remember,1.0,Very High,BERT+LLM,0.8,1.21,False,,,,,
gs_11b98343c6ca,in-42865f638c1a0213,experiment with new ideas,Soft,,0.784,Medium High,BERT+LLM,0.78,1.18,False,,,,,
gs_4e45ca7d16cf,in-975925aafc3cdc8b,share knowledge and experience,Soft,,0.859,High,LLM,0.8,1.22,False,,,,,
gs_7aa06b7bbd08,in-cb9f55484c62a59b,collaborate with team,Soft,,0.919,Very High,LLM,0.79,1.25,False,,,,,
gs_dad5d2b04bca,in-c557febea1284ab5,respectfully with employees,Hard,Apply,0.541,Medium Low,BERT (standalone),0.85,0.85,False,,,,,
gs_9993ea09ad0b,in-e149384e1d190ac3,parents,Hard,Apply,0.437,Low,BERT (standalone),0.81,0.82,False,,,,,
gs_c7b0a8cd392e,in-fbf6a658d893b54f,deliver systems,Hard,Apply,0.629,Medium,LLM,0.81,0.95,False,,,,,
gs_a3571c8ae2de,in-3450d4d993d929b7,build something from the ground up,Hard,Create,1.0,Very High,BERT+LLM,0.76,1.27,False,,,,,
gs_4fd683ab2e1d,in-6bc0a046c826784a,lead discovery efforts,Soft,,0.837,High,BERT+LLM,0.81,1.25,True,,,,,
gs_a684ada02a7f,in-e3091d3257578eb8,data,Hard,Apply,0.485,Low,BERT (standalone),0.72,0.84,True,,,,,
gs_f2d25bbaa32b,in-20cd49ff6cea2078,manage submittals,Soft,,0.626,Medium,LLM,0.84,0.92,False,,,,,
gs_af2e93cbd05f,in-66025923f3135890,maneuver pizza peel,Hard,Apply,0.94,Very High,BERT+LLM,0.79,1.22,False,,,,,
gs_4756f39552a0,in-46cd504b7159580c,recommend optimal methods for achieving objectives,Hard,Evaluate,1.0,Very High,BERT+LLM,0.83,1.23,True,,,,,
gs_bb179c93c36b,in-a4ba11a817bac987,define CRM product needs,Hard,Remember,1.0,Very High,BERT+LLM,0.76,1.23,True,,,,,
gs_d5951c3c36f3,in-674a83e6a18567e2,learn and pick up new technologies,Soft,,0.637,Medium,LLM,0.75,0.95,False,,,,,
gs_00be857872f9,in-e1209c8e246f247b,drive integration with field scaling programs,Hard,Create,0.661,Medium,LLM,0.8,0.96,False,,,,,
gs_f4dbe4614209,in-3eff7998807adf15,inspections,Hard,Evaluate,0.545,Medium Low,BERT (standalone),0.9,0.85,False,,,,,
gs_f10320ecca18,in-4443630e5a38e0b7,conduct monthly SLA reporting,Hard,Understand,0.659,Medium,LLM,0.8,0.96,False,,,,,
gs_d5e6a8b90186,in-9ed9bdd4561ad737,passionate,Hard,Apply,0.345,Very Low,BERT (standalone),0.9,0.83,False,,,,,
gs_a7e8d45d3cf6,in-204a8d2b8fd2f93e,"enable adoption of CSI, Process, Data, and Tooling outputs",Hard,Apply,0.601,Medium,LLM,0.77,0.92,False,,,,,
gs_1e8912d7a4f6,in-c6b58de0371e1462,deploy critical infrastructure,Hard,Analyze,0.662,Medium,LLM,0.88,0.95,False,,,,,
gs_6857ae27fe9e,in-a2b01e06d1d29e19,lead with purpose,Soft,,0.756,Medium High,BERT+LLM,0.75,1.2,False,,,,,
gs_184856086cab,in-d81c66efa3e4d58b,collaborative,Hard,Apply,0.469,Low,BERT (standalone),0.9,0.82,True,,,,,
gs_1c686d1807aa,in-98a42547a1b1c201,gain exposure to modern development practices,Hard,Create,0.662,Medium,LLM,0.8,0.96,False,,,,,
gs_cf11de1ea17d,in-6c80de6c71326042,workforce utilization,Hard,Apply,0.37,Very Low,BERT (standalone),0.9,0.82,True,,,,,
gs_59f94ebf25d0,in-1c5a9b34dae80199,communication skills,Soft,,0.594,Medium Low,BERT (standalone),0.89,0.85,False,,,,,
gs_fc29113f46ff,in-d707894887a9245c,high -fidelity UX / UI design,Hard,Create,0.675,Medium,BERT (standalone),0.72,0.88,True,,,,,
gs_621097c8a873,in-c9b7f5d95c77a4d6,manage approval process for creative assets,Soft,,1.0,Very High,BERT+LLM,0.78,1.26,False,,,,,
gs_2d2a8adc1f7e,in-090afd37763f300a,design application design,Hard,Create,0.881,High,BERT+LLM,0.7,0.95,False,,,,,
gs_1e40d71036ff,in-2386c67d016c20c4,ensure designs are safe,Hard,Create,0.603,Medium,LLM,0.75,0.92,False,,,,,
gs_ef641a2a24f6,in-72959dcc284f4d86,back up and restore data,Hard,Apply,1.0,Very High,BERT+LLM,0.76,1.23,False,,,,,
