gold_id,item_text,item_type,pipeline_domain,pipeline_similarity,true_domain_id,labeler_id,notes
gfs_55e4b78bc035,manage programme management for assigned projects,skill,Project Management & Agile Methodologies,0.44,,,
gfs_0d3f9131d417,Create clear SLAs,skill,Cybersecurity,0.127,,,
gfs_24a0bea0d823,ensure security controls,skill,Cybersecurity,0.293,,,
gfs_ba583f1d1794,provide advanced technical expertise for critical power solutions,skill,Critical Thinking & Problem Solving,0.398,,,
gfs_6cabc2bd77f2,ensure efficient cloud utilization,skill,Cloud Computing & Infrastructure,0.412,,,
gfk_52bd767e0a9b,automated data quality validation pipelines,knowledge,Quality Assurance & Testing,0.313,,,
gfk_d690b7b98363,Automated Machine Learning (AutoML),knowledge,AI & Machine Learning,0.378,,,
gfk_783b550d8a53,IP enforcement,knowledge,Cybersecurity,0.215,,,
gfk_92be3f997bb9,digital literacy,knowledge,Technological Literacy & Digital Fluency,0.609,,,
gfk_de88d3b55ab4,Human-in-the-Loop,knowledge,Human-AI Collaboration,0.347,,,
gfk_930095dba4ba,full-stack software engineering,knowledge,Software Development & Engineering,0.468,,,
gfk_9ae6e2e8a0bc,sustainability integration,knowledge,Environmental & Sustainability Technology,0.507,,,
gfk_55326051fe1e,learning for life,knowledge,Resilience & Adaptability,0.319,,,
gfk_eba5e5869c5f,qualification methodologies,knowledge,Business Analysis & Requirements Engineering,0.42,,,
gfk_fdbbfedcfc4e,water components,knowledge,Cloud Computing & Infrastructure,0.197,,,
gfk_5632ffd3ceab,turnkey asset management program (TAMP),knowledge,Digital Platforms & E-commerce,0.182,,,
gfk_2ca655495aea,concept boards,knowledge,Legacy Web Development,0.368,,,
gfk_56412b5b186f,child safety standards,knowledge,Cybersecurity,0.208,,,
gfk_3f37694eebba,esports,knowledge,Game Development & Interactive Media,0.338,,,
gfk_13d3a0faa0cc,Workday Pro,knowledge,Routine Maintenance Coding,0.207,,,
gfk_fa43b69088f3,Solutions Architecture,knowledge,Routine Maintenance Coding,0.289,,,
gfk_02e6971fb468,airborne vehicle systems,knowledge,Cloud Computing & Infrastructure,0.201,,,
gfk_f8badccb8e9b,IT Project Management Office,knowledge,Project Management & Agile Methodologies,0.452,,,
gfk_7dcb1f17ceb0,Engineering Change Orders (ECOs),knowledge,Environmental & Sustainability Technology,0.222,,,
gfk_7224ef74e93f,APM tools,knowledge,Project Management & Agile Methodologies,0.259,,,
gfk_f438f63d1c34,first-person shooter development,knowledge,Game Development & Interactive Media,0.363,,,
gfk_e89603dd08e2,governance controls,knowledge,Blockchain & Distributed Systems,0.224,,,
gfk_ecc497f588dd,StackWise,knowledge,Database & Systems Administration,0.208,,,
gfk_4cdbd2bafa81,Graph,knowledge,Big Data & Analytics,0.15,,,
gfk_12722af0524a,marketplace interactions,knowledge,Digital Platforms & E-commerce,0.36,,,
gfk_d9b003c30dac,Moralis,knowledge,Blockchain & Distributed Systems,0.215,,,
gfk_e37d8140e243,Infrastructure as a Service (IaaS),knowledge,Cloud Computing & Infrastructure,0.481,,,
gfk_3c575fe4b6c0,biology,knowledge,Leadership & People Development,0.177,,,
gfk_31b75b20d7cf,automotive aftermarket parts sector,knowledge,Business Analysis & Requirements Engineering,0.262,,,
gfk_b9eb06460148,electric drive solutions,knowledge,Critical Thinking & Problem Solving,0.136,,,
gfk_2ca3d86b5ed6,AI-native factories,knowledge,Human-AI Collaboration,0.401,,,
gfk_2708761df7bd,fiber network design data,knowledge,UX/UI & Digital Design,0.233,,,
gfk_84c8f0bd7897,project post sales management,knowledge,Project Management & Agile Methodologies,0.398,,,
gfk_bc8d326d651b,use case scenarios,knowledge,Business Analysis & Requirements Engineering,0.362,,,
gfk_bc6f8b77a48a,cyber crisis response,knowledge,Cybersecurity,0.365,,,
gfk_f3ef6c19d15d,Collections & Recoveries capability,knowledge,Database & Systems Administration,0.265,,,
gfk_7bff9515c59a,bushfire,knowledge,Routine Maintenance Coding,0.108,,,
gfk_02b96ea298ff,formal training,knowledge,Routine Data Entry & Clerical,0.36,,,
gfk_34c8068dfbbe,marketing technology,knowledge,Digital Platforms & E-commerce,0.413,,,
gfk_393c00df341f,Benefact Group,knowledge,Advanced Communication & Collaboration,0.139,,,
gfk_9d7168984b2e,reporting skills,knowledge,Routine Data Entry & Clerical,0.355,,,
gfk_e57eee96a999,leader effectiveness,knowledge,Leadership & People Development,0.396,,,
gfk_bd7bea6d847f,ML/AI,knowledge,AI & Machine Learning,0.501,,,
gfk_4ae0c1cd5ffe,value chain,knowledge,Blockchain & Distributed Systems,0.249,,,
gfk_07dc3dd8dd42,Test Lab,knowledge,Quality Assurance & Testing,0.318,,,
gfk_9463f87bbed1,YAML,knowledge,Database & Systems Administration,0.22,,,
gfk_dd499a46bb9a,vector DBs,knowledge,Database & Systems Administration,0.328,,,
gfk_ddea052ec0fb,ProVQ,knowledge,Critical Thinking & Problem Solving,0.236,,,
gfk_964330359a07,pragmatic architectural thinking,knowledge,Critical Thinking & Problem Solving,0.347,,,
gfk_5531eb9409fa,open source tools,knowledge,Database & Systems Administration,0.331,,,
